pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label_asli
115521,123145386,253,353000000,253000000000.0,4,7916,13526,14418716,450,0,UDP,1,4288,1562,0,0.0,0.0,0
10203,11889694,24,323000000,24323000000.0,3,4365,0,0,0,1,TCP,2,4078,1312,0,0.0,0.0,1
114901,119726842,379,731000000,380000000000.0,11,2053,8540,8898680,284,1,ICMP,3,255088779,271084353,2362,0.0,2362.0,1
740,72520,758,565000000,759000000000.0,9,2390,29,2842,0,1,ICMP,1,271164600,270346372,2,2.0,4.0,0
128646,6946884,470,617000000,471000000000.0,3,8050,2469,133326,82,1,TCP,3,168052004,21469874,34,36.0,70.0,1
22742,1501364,81,67000000,81067000000.0,3,22,9364,618036,312,1,TCP,1,3720,1262,0,0.0,0.0,0
429,42042,440,201000000,440000000000.0,4,1057,29,2842,0,1,ICMP,1,4555,1242,0,0.0,0.0,0
57028,59423176,168,230000000,168000000000.0,5,2364,10203,10631526,340,1,ICMP,3,58708247,59522965,2837,2837.0,5674.0,1
597,58506,611,580000000,612000000000.0,5,3421,30,2940,1,0,ICMP,3,406812467,135892103,1,1.0,2.0,0
25839,28705710,81,398000000,81398000000.0,9,12106,2906,3268916,96,1,TCP,3,11441507,289017358,158,4148.0,4306.0,1
401,39298,411,369000000,411000000000.0,5,3443,29,2842,0,0,ICMP,2,182329,270526481,1,1.0,2.0,0
8213,443502,30,42000000,30042000000.0,3,6024,7388,398952,246,1,TCP,3,644964,464612,114,107.0,221.0,1
92532,6107484,301,250000000,301000000000.0,3,13249,7050,465408,235,1,TCP,2,7547565,7022808,0,0.0,0.0,1
22504,23989264,49,282000000,49282000000.0,3,558,13454,14341964,448,0,UDP,2,2882,2966,0,0.0,0.0,0
111130,126641916,259,64000000,259000000000.0,3,2400,12688,14556784,422,1,TCP,2,12392563,133820350,143,3913.0,4056.0,0
154334,8334036,256,913000000,257000000000.0,7,18351,16750,904500,558,1,TCP,3,319911676,464719721,370,2992.0,3362.0,0
227,22246,232,910000000,233000000000.0,9,4942,29,2842,0,1,ICMP,1,99565,135554832,0,0.0,0.0,0
88941,100009922,204,385000000,204000000000.0,5,6696,13498,14742516,449,1,TCP,1,4039200,100058536,175,3925.0,4100.0,0
126264,6818256,201,641000000,202000000000.0,7,16567,18512,999648,617,1,TCP,1,456603723,27494846,3891,436.0,4327.0,1
75068,4353944,265,565000000,266000000000.0,5,25224,8188,474904,272,1,TCP,2,6078821,143910128,0,0.0,0.0,0
964,94472,988,422000000,988000000000.0,11,3034,29,2842,0,1,ICMP,1,271274177,135910560,3,3.0,6.0,0
81580,90162616,184,365000000,184000000000.0,9,6696,13267,14490726,442,1,TCP,3,179005151,114200590,175,4059.0,4234.0,0
701,68698,718,473000000,718000000000.0,5,2376,29,2842,0,1,ICMP,3,134726062,135540780,1,1.0,2.0,0
134977,143885482,323,127000000,323000000000.0,4,1931,2900,3091400,96,0,UDP,2,3413,3539,0,0.0,0.0,1
927,90846,950,246000000,950000000000.0,17,2053,29,2842,0,1,ICMP,1,313736658,313325978,4173,4173.0,8346.0,0
638,62524,653,197000000,653000000000.0,6,4920,29,2842,0,1,ICMP,1,6003,1542,0,0.0,0.0,0
966,94668,990,243000000,990000000000.0,7,2053,29,2842,0,1,ICMP,3,271021793,115045,2,2.0,4.0,0
507,49686,519,907000000,520000000000.0,3,2063,30,2940,1,1,ICMP,3,271214090,307258,0,0.0,0.0,0
97616,5661728,341,121000000,341000000000.0,3,13231,8526,494508,284,1,TCP,3,12102059,13234503,122,131.0,253.0,1
126877,6851358,231,34000000,231000000000.0,3,13231,16715,902610,557,1,TCP,4,37402369,467139111,128,239.0,367.0,1
595,58310,613,212000000,613000000000.0,3,2997,29,2842,0,1,ICMP,4,135526276,133800808,0,0.0,0.0,0
102014,108746924,226,407000000,226000000000.0,6,2385,13466,14354756,448,0,UDP,2,110858482,3642,6430,0.0,6430.0,0
13937,752598,43,848000000,43848000000.0,5,7385,8841,477414,294,1,TCP,3,103311575,5396200,4052,311.0,4363.0,1
128963,134379446,467,453000000,467000000000.0,2,4440,6027,6280134,200,0,UDP,2,276816257,4533,1625,0.0,1625.0,1
697,68306,713,183000000,713000000000.0,5,4920,29,2842,0,1,ICMP,2,133971545,406616887,1,1.0,2.0,0
625,61250,641,117000000,641000000000.0,7,2790,29,2842,0,1,ICMP,4,271314527,271312905,2,2.0,4.0,0
58673,3872574,184,320000000,184000000000.0,3,6696,9807,647262,326,1,TCP,1,6292214,146991384,0,0.0,0.0,0
105658,6128164,394,757000000,395000000000.0,5,25224,7206,417948,240,1,TCP,3,26944499,24400547,225,210.0,435.0,0
501,49098,512,783000000,513000000000.0,5,4942,30,2940,1,1,ICMP,2,134148267,406793679,1,1.0,2.0,0
691,67718,709,901000000,710000000000.0,5,2063,29,2842,0,1,ICMP,4,271572568,271559232,1,1.0,2.0,0
22347,23285574,70,781000000,70781000000.0,3,1298,9741,10150122,324,0,UDP,1,3660,82037662,0,3839.0,3839.0,1
16797,18580938,38,653000000,38653000000.0,9,11422,13005,14299490,433,1,TCP,4,16570989,222395300,351,7787.0,8138.0,0
17055,989190,61,723000000,61723000000.0,5,16540,8509,493522,283,1,TCP,2,22800180,335313422,301,4171.0,4472.0,1
10909,589086,19,555000000,19555000000.0,9,10692,0,0,0,1,TCP,1,7471708,6952436,0,0.0,0.0,1
126,12348,129,954000000,130000000000.0,13,1849,29,2842,0,1,ICMP,3,8618634,144472342,2272,2377.0,4649.0,0
112864,120313024,250,732000000,251000000000.0,2,1943,13537,14430442,451,0,UDP,3,274580221,4365,2594,0.0,2594.0,0
9303,9916998,20,620000000,20620000000.0,3,2242,0,0,0,0,UDP,2,3590,3926,0,0.0,0.0,1
108,10584,111,205000000,111000000000.0,4,940,29,2842,0,1,ICMP,3,3332393,14749,885,0.0,885.0,0
131321,135589458,1160,148000000,1160000000000.0,8,2053,29,2842,0,1,ICMP,2,57419,119911666,0,2362.0,2362.0,1
52768,56250688,117,254000000,117000000000.0,3,2375,13443,14330238,448,0,UDP,4,3488,62265606,0,5404.0,5404.0,0
109439,114035438,369,816000000,370000000000.0,6,948,9003,9381126,300,1,ICMP,1,4575,1242,0,0.0,0.0,1
131586,135615428,1431,384000000,1430000000000.0,5,2790,29,2842,0,1,ICMP,3,271151443,232981,1,1.0,2.0,1
52582,54790444,170,297000000,170000000000.0,6,1943,9320,9711440,310,0,UDP,4,304850503,4463,7554,0.0,7554.0,1
284,27832,291,220000000,291000000000.0,4,948,30,2940,1,1,ICMP,2,4575,1402,0,0.0,0.0,0
86953,4695462,293,949000000,294000000000.0,2,12106,8917,481518,297,1,TCP,4,150276921,5858911,127,0.0,127.0,1
108236,5844744,386,162000000,386000000000.0,5,10817,7941,428814,264,1,TCP,2,5506,1242,0,0.0,0.0,1
286,28028,293,134000000,293000000000.0,13,4920,29,2842,0,1,ICMP,3,135607798,200358706,2,4392.0,4394.0,0
19116,19918872,60,865000000,60865000000.0,5,1790,9477,9875034,315,0,UDP,3,58460931,3679,5232,0.0,5232.0,1
56384,3721668,181,275000000,181000000000.0,11,7385,8806,581328,293,1,TCP,3,269049227,12904236,11911,751.0,12662.0,1
103808,110659328,230,401000000,230000000000.0,4,1943,13533,14426178,451,0,UDP,2,3688,1492,0,0.0,0.0,0
746,73108,763,95000000,763000000000.0,9,4942,29,2842,0,1,ICMP,1,271228025,269150054,0,0.0,0.0,0
80096,5286636,260,476000000,260000000000.0,11,18351,9825,648510,327,1,TCP,1,466233354,34059440,0,0.0,0.0,0
133312,146570904,298,987000000,299000000000.0,3,2373,13480,14747648,449,1,TCP,2,293791475,12973825,3923,174.0,4097.0,0
32512,2145912,98,622000000,98622000000.0,3,11471,9919,654654,330,1,TCP,1,4814,1472,0,0.0,0.0,0
38,3724,39,886000000,39886000000.0,9,1857,29,2842,0,1,ICMP,1,5066,1312,0,0.0,0.0,0
91206,97225596,201,313000000,201000000000.0,6,1931,13526,14418716,450,0,UDP,4,3539,3413,0,0.0,0.0,0
61909,64509178,207,696000000,208000000000.0,17,2053,9261,9649962,308,1,ICMP,2,271144783,170840611,4,2568.0,2572.0,1
134998,143907868,313,344000000,313000000000.0,3,1931,7464,7956624,248,0,UDP,2,3759,1402,0,0.0,0.0,1
27313,28460146,90,18000000,90018000000.0,13,3421,9035,9414470,301,1,ICMP,1,72519018,71750730,5010,5010.0,10020.0,1
3376,222816,10,454000000,10454000000.0,7,4033,0,0,0,1,TCP,3,17428150,243704952,338,7844.0,8182.0,1
130394,139000004,288,837000000,289000000000.0,6,1943,13307,14185262,443,0,UDP,3,3665,3413,0,0.0,0.0,0
4777,5092282,10,711000000,10711000000.0,3,1790,0,0,0,0,UDP,1,3753,5227812,0,1393.0,1393.0,1
131643,135621014,1490,203000000,1490000000000.0,7,2059,29,2842,0,1,ICMP,3,271152413,245623,1,1.0,2.0,1
63438,66102396,198,162000000,198000000000.0,9,3024,9888,10303296,329,1,ICMP,2,201910587,134906277,2746,7.0,2753.0,1
11886,12670476,23,955000000,23955000000.0,3,6846,0,0,0,0,UDP,3,4766,327375804,0,7378.0,7378.0,1
93745,97682290,300,886000000,301000000000.0,4,1943,9334,9726028,311,0,UDP,1,3865,1402,0,0.0,0.0,1
43888,45731296,137,877000000,138000000000.0,9,3024,9642,10046964,321,1,ICMP,2,181459830,134852768,2672,7.0,2679.0,1
122650,127801300,435,919000000,436000000000.0,3,4440,8314,8663188,277,0,UDP,2,270723013,4533,2346,0.0,2346.0,1
90172,96123352,200,265000000,200000000000.0,3,1306,13475,14364350,449,0,UDP,3,96434872,3572,3838,0.0,3838.0,0
713,69874,731,234000000,731000000000.0,3,2790,29,2842,0,1,ICMP,3,271097835,178213,0,0.0,0.0,0
131105,135568290,981,337000000,981000000000.0,5,2790,58,5684,1,1,ICMP,4,135701647,271160137,2,2.0,4.0,1
111052,5996808,389,648000000,390000000000.0,4,3982,7956,429624,265,1,TCP,4,6449524,151718426,0,113.0,113.0,1
90172,96123352,200,265000000,200000000000.0,3,1306,13475,14364350,449,0,UDP,1,3624,1422,0,0.0,0.0,0
119983,127901878,265,314000000,265000000000.0,3,8803,13640,14540240,454,0,UDP,4,5769,556205635,0,0.0,0.0,0
676,66248,691,578000000,692000000000.0,5,3431,30,2940,1,0,ICMP,3,105983,102068,0,0.0,0.0,0
3384,3526128,10,735000000,10735000000.0,4,608,0,0,0,0,UDP,3,3059,3185,0,0.0,0.0,0
130635,135522230,651,189000000,651000000000.0,7,960,29,2842,0,1,ICMP,3,271061192,135603150,1,1.0,2.0,1
3042,3242772,35,83000000,35083000000.0,6,4440,332,353912,11,0,UDP,3,3833,3413,0,0.0,0.0,1
47315,49302230,150,854000000,151000000000.0,7,1943,9354,9746868,311,0,UDP,1,3929,16470178,0,2594.0,2594.0,1
88102,5109916,289,494000000,289000000000.0,5,4357,8787,509646,292,1,TCP,3,15970179,164802294,273,508.0,781.0,1
131820,135638360,1671,430000000,1670000000000.0,7,2800,29,2842,0,1,ICMP,2,27277,23054,0,0.0,0.0,1
113885,121401410,253,263000000,253000000000.0,2,1931,13538,14431508,451,0,UDP,4,4001,243020957,0,2601.0,2601.0,0
63936,66621312,227,178000000,227000000000.0,2,2385,6422,6691724,214,0,UDP,2,3413,3581,0,0.0,0.0,1
479,46942,491,86000000,491000000000.0,5,2790,29,2842,0,1,ICMP,2,135512269,50144,0,0.0,0.0,0
109462,113680860,411,187000000,411000000000.0,6,948,8394,8719172,279,1,ICMP,3,249334174,113876216,2983,2348.0,5331.0,1
20953,22335898,42,718000000,42718000000.0,2,5882,13393,14276938,446,0,UDP,1,4162,22892638,0,3838.0,3838.0,0
106175,110634350,353,403000000,353000000000.0,2,1931,6086,6341612,202,0,UDP,2,3826,1312,0,0.0,0.0,1
42837,44636154,136,832000000,137000000000.0,4,7916,9376,9769792,312,0,UDP,1,4960,276817856,0,0.0,0.0,1
80016,83376672,287,69000000,287000000000.0,3,4440,8683,9047686,289,0,UDP,2,215596881,4253,6061,0.0,6061.0,1
34097,38555122,79,23000000,79023000000.0,5,1165,13158,14660684,438,1,TCP,1,7546499,7023194,0,0.0,0.0,0
999,97902,1031,234000000,1030000000000.0,13,2800,23,2254,0,1,ICMP,3,269464015,271127907,0,0.0,0.0,0
148,14504,151,564000000,152000000000.0,14,3421,30,2940,1,0,ICMP,4,135746720,151538594,3,2497.0,2500.0,0
18005,19733994,40,503000000,40503000000.0,7,4033,13493,14753450,449,1,TCP,2,139844110,151838390,11771,524.0,12295.0,0
997,97706,1021,584000000,1020000000000.0,3,3443,29,2842,0,0,ICMP,1,135566802,102684,0,0.0,0.0,0
442,43316,452,849000000,453000000000.0,5,4942,30,2940,1,1,ICMP,1,105836,101468,0,0.0,0.0,0
684,67032,701,197000000,701000000000.0,9,2790,30,2940,1,1,ICMP,1,542379459,540709730,3,3.0,6.0,0
49,4802,51,279000000,51279000000.0,5,3443,29,2842,0,0,ICMP,2,10815,134894848,0,0.0,0.0,0
333,32634,341,559000000,342000000000.0,11,3421,29,2842,0,0,ICMP,1,167032727,166264306,5018,5018.0,10036.0,0
144,14112,148,152000000,148000000000.0,9,3034,29,2842,0,1,ICMP,3,135185435,271216905,2,2.0,4.0,0
103582,107932444,346,498000000,346000000000.0,3,7916,8196,8540232,273,0,UDP,1,4485,1382,0,0.0,0.0,1
41376,2399808,169,904000000,170000000000.0,11,25224,8881,515098,296,1,TCP,4,326621889,400279090,669,9225.0,9894.0,0
57240,59644080,195,755000000,196000000000.0,3,2385,7674,7996308,255,0,UDP,3,3875,176295617,0,2117.0,2117.0,1
7247,7551374,23,327000000,23327000000.0,6,1931,0,0,0,0,UDP,3,35264510,3446,3839,0.0,3839.0,1
89983,95921878,199,289000000,199000000000.0,6,1306,13475,14364350,449,0,UDP,1,3584,1172,0,0.0,0.0,0
114622,119436124,407,444000000,407000000000.0,2,4440,8167,8510014,272,0,UDP,4,4491,261922239,0,2254.0,2254.0,1
72772,4803024,220,994000000,221000000000.0,3,1143,9982,658812,332,1,TCP,2,108524821,4816237,3939,176.0,4115.0,0
83421,93705378,194,322000000,194000000000.0,7,11888,11998,13392188,399,1,TCP,1,5399,1487844,0,121.0,121.0,0
50575,3338046,158,998000000,159000000000.0,5,16540,9424,622008,314,1,TCP,3,6437513,147084102,0,0.0,0.0,0
120281,6976298,419,393000000,419000000000.0,5,8050,7657,444106,255,1,TCP,2,5358,1312,0,0.0,0.0,1
108968,113544656,361,224000000,361000000000.0,7,3421,8994,9371748,299,1,ICMP,2,135464525,377562917,1,5072.0,5073.0,1
79040,82359680,257,415000000,257000000000.0,2,7916,8825,9195650,294,0,UDP,2,580784160,2530,7760,0.0,7760.0,1
8385,8737170,32,737000000,32737000000.0,9,4920,7513,7828546,250,1,ICMP,3,166809656,133860714,4172,2.0,4174.0,1
6807,394806,20,211000000,20211000000.0,5,25224,0,0,0,1,TCP,3,14571476,16387480,101,159.0,260.0,0
33369,1935402,107,2000000,107000000000.0,5,10817,9212,534296,307,1,TCP,1,2683249,2243038,142,132.0,274.0,1
112404,117124968,377,417000000,377000000000.0,2,7916,8660,9023720,288,0,UDP,3,143930035,276816961,0,0.0,0.0,1
131614,135618172,1460,175000000,1460000000000.0,9,2059,29,2842,0,1,ICMP,2,86805,135542876,0,0.0,0.0,1
247,24206,253,41000000,253000000000.0,13,4920,29,2842,0,1,ICMP,4,100631741,135565399,4973,0.0,4973.0,0
39851,2630478,134,272000000,134000000000.0,7,11888,9012,594840,300,1,TCP,3,4476616,114837842,151,3822.0,3973.0,0
98082,107555596,220,539000000,221000000000.0,11,18351,13502,14808316,450,1,TCP,3,559949759,43389595,9556,682.0,10238.0,0
131731,135629638,1580,197000000,1580000000000.0,13,2063,30,2940,1,1,ICMP,1,542518263,542107380,4,4.0,8.0,1
109182,119876308,244,442000000,244000000000.0,11,4357,13472,14744896,449,1,TCP,3,9461987,127772870,458,4452.0,4910.0,0
13536,893436,49,8000000,49008000000.0,3,1147,8366,552168,278,1,TCP,2,171149560,7430574,3913,146.0,4059.0,1
34153,35587426,110,292000000,110000000000.0,6,1943,9256,9644752,308,0,UDP,4,3665,3413,0,0.0,0.0,1
124526,132744716,276,434000000,276000000000.0,2,7916,13311,14189526,443,0,UDP,4,5214,494104118,0,2493.0,2493.0,0
142081,7672374,234,123000000,234000000000.0,3,4357,18373,992142,612,1,TCP,3,7692941,4099489,263,141.0,404.0,1
332,32536,340,1000000,340000000000.0,4,2053,30,2940,1,1,ICMP,4,105721,135565182,0,0.0,0.0,0
103582,107932444,346,498000000,346000000000.0,3,7916,8196,8540232,273,0,UDP,1,699267223,3776,0,0.0,0.0,1
910,89180,931,563000000,932000000000.0,5,3443,30,2940,1,0,ICMP,2,5701,1542,0,0.0,0.0,0
129224,7494992,499,778000000,500000000000.0,3,18351,3775,218950,125,1,TCP,1,6450789,145705694,0,0.0,0.0,0
129973,135431866,451,443000000,451000000000.0,3,1264,6844,7131448,228,1,ICMP,2,4932,1562,0,0.0,0.0,1
782,76636,801,473000000,801000000000.0,5,3443,29,2842,0,0,ICMP,1,84864,80794,0,0.0,0.0,0
770,75460,789,950000000,790000000000.0,13,2063,29,2842,0,1,ICMP,2,271355105,271368511,3,3.0,6.0,0
110462,5964948,379,536000000,380000000000.0,3,6696,7672,414288,255,1,TCP,1,5207,7022054,0,0.0,0.0,1
77360,4486880,259,980000000,260000000000.0,7,3982,8370,485460,279,1,TCP,2,5507,4195866,0,120.0,120.0,1
126629,131947418,437,312000000,437000000000.0,2,7916,7165,7465930,238,0,UDP,2,680345815,3062,4005,0.0,4005.0,1
59950,63906700,133,328000000,133000000000.0,3,1109,13542,14435772,451,0,UDP,3,3022,3320,0,0.0,0.0,0
104016,108384672,346,284000000,346000000000.0,2,3421,9017,9395714,300,1,ICMP,3,108754035,5243,2499,0.0,2499.0,1
87926,98491500,201,270000000,201000000000.0,5,13249,13392,14758048,446,1,TCP,3,646942667,48393911,7844,340.0,8184.0,0
33465,1940970,108,471000000,108000000000.0,11,2373,9337,541546,311,1,TCP,4,313577450,101954174,319,4192.0,4511.0,0
129988,135447496,423,443000000,423000000000.0,3,1931,7106,7404452,236,0,UDP,3,4682,392176332,0,2384.0,2384.0,1
125616,6783264,496,189000000,496000000000.0,3,25224,2169,117126,72,1,TCP,3,27030185,29768897,29,31.0,60.0,0
40764,2201256,128,208000000,128000000000.0,5,16567,9353,505062,311,1,TCP,2,7546942,6969828,0,0.0,0.0,1
530,51940,542,757000000,543000000000.0,5,4942,29,2842,0,1,ICMP,1,106299,135561566,0,0.0,0.0,0
22668,1224072,86,130000000,86130000000.0,7,10817,9071,489834,302,1,TCP,2,5329,1172,0,0.0,0.0,1
44980,46869160,143,392000000,143000000000.0,4,1931,9439,9835438,314,0,UDP,3,3791,92841647,0,3837.0,3837.0,1
342,33516,351,157000000,351000000000.0,13,2790,29,2842,0,1,ICMP,3,147528759,223018365,4905,2445.0,7350.0,0
169,176098,0,843000000,843000000.0,6,1306,0,0,0,0,UDP,3,3404,3236,0,0.0,0.0,1
206,20188,211,482000000,211000000000.0,4,3421,29,2842,0,0,ICMP,2,26142,19484948,0,2528.0,2528.0,0
73519,78371254,162,878000000,163000000000.0,3,1910,13615,14513590,453,0,UDP,3,3362,6472832,0,1725.0,1725.0,0
16688,17388896,53,352000000,53352000000.0,4,1931,9435,9831270,314,0,UDP,1,3759,1332,0,0.0,0.0,1
120032,6961856,448,581000000,449000000000.0,5,25224,7477,433666,249,1,TCP,2,6170749,153522408,0,105.0,105.0,0
15173,15810266,46,907000000,46907000000.0,3,2375,9701,10108442,323,0,UDP,3,141457592,3698,7674,0.0,7674.0,1
126152,134478032,280,693000000,281000000000.0,2,2242,13299,14176734,443,0,UDP,1,4233,1382,0,0.0,0.0,0
19407,1281030,60,339000000,60339000000.0,7,4033,9567,631458,318,1,TCP,1,7471204,6952436,0,0.0,0.0,1
134820,143718120,322,102000000,322000000000.0,4,1931,2900,3091400,96,0,UDP,1,3759,1402,0,0.0,0.0,1
102868,5966344,353,144000000,353000000000.0,5,6696,8010,464580,267,1,TCP,2,4969,5566640,0,114.0,114.0,1
117796,6832168,414,494000000,414000000000.0,5,3982,7942,460636,264,1,TCP,1,465061776,33431016,348,187.0,535.0,1
49535,52804310,109,287000000,109000000000.0,4,608,13438,14324908,447,0,UDP,2,3059,3185,0,0.0,0.0,0
13867,14782222,30,777000000,30777000000.0,3,558,13593,14490138,453,0,UDP,3,38853513,3185,3838,0.0,3838.0,0
672,65856,688,478000000,688000000000.0,5,2376,30,2940,1,1,ICMP,2,135534886,134720168,1,1.0,2.0,0
82117,85565914,279,807000000,280000000000.0,6,948,9178,9563476,305,1,ICMP,3,143970897,58035031,5094,2552.0,7646.0,1
23884,25460344,53,104000000,53104000000.0,2,1109,13430,14316380,447,0,UDP,1,76545697,1312,7986,0.0,7986.0,0
76818,81887988,170,681000000,171000000000.0,3,2242,13478,14367548,449,0,UDP,4,4775,279389377,0,0.0,0.0,0
740,72520,772,921000000,773000000000.0,5,2063,27,2646,0,1,ICMP,2,105978,135561734,0,0.0,0.0,0
303,29694,311,148000000,311000000000.0,8,2790,30,2940,1,1,ICMP,2,195005529,91442359,2499,5010.0,7509.0,0
45937,2480598,74,104000000,74104000000.0,9,6696,18358,991332,611,1,TCP,2,149617562,7712260,8302,598.0,8900.0,1
76360,79567120,243,474000000,243000000000.0,2,1931,9452,9848984,315,0,UDP,2,3649,1242,0,0.0,0.0,1
250487,13526298,502,120000000,502000000000.0,5,25224,7046,380484,234,1,TCP,3,5862415,145576233,0,0.0,0.0,0
12595,831646,52,200000000,52200000000.0,3,12130,7442,491208,248,1,TCP,1,5400,1472,0,0.0,0.0,1
75166,80126956,167,17000000,167000000000.0,3,2375,13442,14329172,448,0,UDP,1,3514,1172,0,0.0,0.0,0
63596,66267032,203,366000000,203000000000.0,3,1931,9387,9781254,312,0,UDP,3,3875,121630127,0,3838.0,3838.0,1
6002,6398132,13,242000000,13242000000.0,2,1910,0,0,0,0,UDP,4,3488,98996058,0,6384.0,6384.0,1
79021,82339882,257,303000000,257000000000.0,2,7916,8825,9195650,294,0,UDP,3,143929858,276816854,2858,0.0,2858.0,1
118948,131709048,271,312000000,271000000000.0,7,7385,13482,14745836,449,1,TCP,5,244382142,12497128,8136,486.0,8622.0,0
134888,143790608,310,317000000,310000000000.0,3,2242,8845,9428770,294,0,UDP,3,287898035,4733,0,0.0,0.0,1
78905,82219010,250,748000000,251000000000.0,7,1943,9338,9730196,311,0,UDP,4,4127,226233337,0,2587.0,2587.0,1
15774,914892,53,169000000,53169000000.0,9,25224,8962,519796,298,1,TCP,4,23446908,160711251,275,256.0,531.0,0
8385,8737170,32,737000000,32737000000.0,9,4920,7513,7828546,250,1,ICMP,1,5730,1472,0,0.0,0.0,1
73532,3970728,120,971000000,121000000000.0,7,1143,18417,994518,613,1,TCP,4,259525549,13190165,5347,369.0,5716.0,1
48866,3225312,154,357000000,154000000000.0,9,6696,9974,658284,332,1,TCP,2,181078054,10113244,8389,640.0,9029.0,0
130986,135556628,920,127000000,920000000000.0,7,2053,58,5684,1,1,ICMP,4,135684035,271130741,3,3.0,6.0,1
108921,5881734,369,558000000,370000000000.0,5,12106,8396,453384,279,1,TCP,2,10993101,12144815,241,259.0,500.0,1
5450,5678900,17,393000000,17393000000.0,3,7894,0,0,0,0,UDP,1,4246,1562,0,0.0,0.0,1
476,46648,488,324000000,488000000000.0,9,3024,29,2842,0,1,ICMP,4,135095435,271137567,6,1.0,7.0,0
379,37142,388,348000000,388000000000.0,7,3024,30,2940,1,1,ICMP,2,232244511,134977353,2712,6.0,2718.0,0
122890,128051380,393,457000000,393000000000.0,2,1931,9325,9716650,310,0,UDP,2,3649,1242,0,0.0,0.0,1
984,96432,1008,411000000,1010000000000.0,11,3034,29,2842,0,1,ICMP,4,135240203,271271715,3,3.0,6.0,0
12786,843984,38,624000000,38624000000.0,5,11422,10000,660108,333,1,TCP,1,1894976,50865096,172,3917.0,4089.0,0
16688,17388896,53,352000000,53352000000.0,4,1931,9435,9831270,314,0,UDP,2,3444,1172,0,0.0,0.0,1
243,23814,249,995000000,250000000000.0,6,2053,29,2842,0,1,ICMP,3,181382662,125972,2557,1.0,2558.0,0
126639,131957838,437,427000000,437000000000.0,2,7916,7165,7465930,238,0,UDP,3,566379701,5951,0,0.0,0.0,1
52800,58276992,119,160000000,119000000000.0,11,11471,13337,14648946,444,1,TCP,5,311574485,105594747,318,4189.0,4507.0,0
78744,87686304,181,325000000,181000000000.0,5,7385,11925,13510426,397,1,TCP,1,497432,295766,131,78.0,209.0,0
976,95648,1001,204000000,1000000000000.0,3,2800,29,2842,0,1,ICMP,1,135466129,1886,0,0.0,0.0,0
964,94472,988,422000000,988000000000.0,11,3034,29,2842,0,1,ICMP,3,270976403,270304229,0,0.0,0.0,0
